구분,항목,작성 내용
기본 정보,문서번호,
기본 정보,작성일자,
기본 정보,소속 부서,
기본 정보,직급 / 성명,
기본 정보,사번,
기본 정보,연락처,
기본 정보,결재 구분(신규/변경/취소),
기본 정보,출장 유형(일반/정기),
출장 개요,출장 목적,
출장 개요,방문 지역/국가,
출장 개요,방문 기관/거래처,
출장 개요,출장 기간,
출장 개요,총 출장일수,
출장 개요,동행자,
정기 출장 정보,정기 출장 여부,
정기 출장 정보,정기 주기,
정기 출장 정보,정기 일정(요일/주차),
정기 출장 정보,적용 시작일,
정기 출장 정보,적용 종료일,
정기 출장 정보,장기 계획 사유,
세부 일정,일자,
세부 일정,시간,
세부 일정,장소,
세부 일정,주요 업무/미팅 내용,
세부 일정,비고,
성과 지표,기대 효과,
성과 지표,정량 지표(KPI),
성과 지표,정성 지표,
성과 지표,사후 보고 예정일,
비용 계획,교통비,
비용 계획,숙박비,
비용 계획,식비,
비용 계획,일비,
비용 계획,기타,
비용 계획,합계,
결재,신청자,
결재,팀장,
결재,부서장,
결재,임원(필요시),
